Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2015-12-31,181.16,182.885,180.03,180.23,1773531.0,0.0,1.0,176.73171453817002,178.41454853893998,175.62933632318,175.82444751167,1773531.0
2015-12-30,183.28,183.53,181.84,182.01,1514347.0,0.0,1.0,178.79989313621002,179.04378212183,177.39509257905,177.56093708926997,1514347.0
2015-12-29,182.82,184.18,182.5003,183.53,1848859.0,0.0,1.0,178.35113740267,179.67789348444,178.03925216787,179.04378212183,1848859.0
2015-12-28,181.77,181.9325,179.84,181.62,1723330.0,0.0,1.0,177.32680366308,177.48533150373,175.44398069411,177.18047027171002,1723330.0
2015-12-24,182.27,183.17,182.02,182.47,1107633.0,0.0,1.0,177.81458163431998,178.69258198254,177.5706926487,178.00969282281002,1107633.0
2015-12-23,180.7,183.0,180.46,182.95,2367840.0,0.0,1.0,176.28295880463,178.52673747231998,176.04882537843997,178.4779596752,2367840.0
2015-12-22,178.9,180.6933,177.05,180.05,2312115.0,0.0,1.0,174.52695810819,176.27642257981998,172.72217961461,175.64884744203,2312115.0
2015-12-21,177.5,178.15,175.83,177.75,2472658.0,0.0,1.0,173.16117978873,173.79529115133,171.53200136479998,173.40506877433998,2472658.0
2015-12-18,181.2,181.9,175.39,175.49,6728782.0,0.0,1.0,176.77073677586998,177.4536259356,171.10275675011002,171.20031234436001,6728782.0
2015-12-17,186.88,187.89,182.61,182.61,2807871.0,0.0,1.0,182.31189452911,183.29720603101,178.14627065476003,178.14627065476003,2807871.0
2015-12-16,184.01,186.88,181.68,186.21,3191630.0,0.0,1.0,179.51204897422002,182.31189452911,177.23900362826,181.65827204765,3191630.0
2015-12-15,178.98,183.28,178.85,182.01,3398685.0,0.0,1.0,174.60500258358002,178.79989313621002,174.47818031106002,177.56093708926997,3398685.0
2015-12-14,176.67,178.63,172.9,176.4,5100994.0,0.0,1.0,172.35146835646998,174.26355800371996,168.67362245336,172.08806825201,5100994.0
2015-12-11,179.68,180.15,175.47,176.56,3749952.0,0.0,1.0,175.28789174331,175.74640303628001,171.18080122551,172.24415720279998,3749952.0
2015-12-10,180.99,183.93,180.31,182.11,2208972.0,0.0,1.0,176.56587002794998,179.43400449882,175.90249198707,177.65849268352002,2208972.0
2015-12-09,182.02,184.85,179.8267,180.71,3907459.0,0.0,1.0,177.5706926487,180.33151596589002,175.43100580007,176.29271436406003,3907459.0
2015-12-08,183.92,184.47,181.84,182.92,2663504.0,0.0,1.0,179.42424893939,179.96080470775001,177.39509257905,178.44869299692002,2663504.0
2015-12-07,190.0,190.12,185.0,185.49,3499845.0,0.0,1.0,185.35562906962,185.47269578272,180.47784935726003,180.95587176906997,3499845.0
2015-12-04,185.61,190.62,184.75,189.99,3517226.0,0.0,1.0,181.07293848217,185.96047375395,180.23396037165,185.3458735102,3517226.0
2015-12-03,190.66,191.65,184.73,185.2,3598581.0,0.0,1.0,185.99949599165,186.96529637470002,180.2144492528,180.67296054576,3598581.0
2015-12-02,193.3,193.84,189.8041,190.26,1817170.0,0.0,1.0,188.57496367978,189.10176388871002,185.16451766049,185.60927361466,1817170.0
2015-12-01,191.22,193.15,190.01,193.07,4141357.0,0.0,1.0,186.54580731944,188.42863028841,185.36538462905,188.35058581301,4141357.0
2015-11-30,190.5,191.08,189.24,190.02,3415027.0,0.65,1.0,185.84340704086003,186.40922948749,184.61420655333998,185.37514018847,3415027.0
2015-11-27,189.16,191.19,188.8501,190.47,1092728.0,0.0,1.0,183.90707252348,185.88069991416,183.60577837156998,185.18069414013002,1092728.0
2015-11-25,188.99,189.77,188.15,189.15,1495611.0,0.0,1.0,183.74179338238,184.50013297092,182.92511997933997,183.89735022106004,1495611.0
2015-11-24,188.02,189.795,186.56,188.67,2679073.0,0.0,1.0,182.79873004792,184.52443872696998,181.37927389501,183.43067970503003,2679073.0
2015-11-23,191.3,191.49,188.52,189.19,2671721.0,0.0,1.0,185.98764524075,186.17236898668,183.28484516878,183.93623943073,2671721.0
2015-11-20,193.0,193.49,191.11,191.47,2931929.0,0.0,1.0,187.64043665168,188.11682947012002,185.80292149483003,186.15292438185003,2931929.0
2015-11-19,193.82,194.21,191.67,193.03,1835761.0,0.0,1.0,188.43766544988,188.81683524415,186.34737043018998,187.66960355893002,1835761.0
2015-11-18,191.05,194.05,191.01,193.66,2509066.0,0.0,1.0,185.74458768031997,188.66127840548,185.70569847066002,188.28210861121002,2509066.0
2015-11-17,192.67,193.0,190.32,190.57,1783839.0,0.0,1.0,187.31960067191002,187.64043665168,185.03485960387002,185.2779171643,1783839.0
2015-11-16,189.99,192.16,188.01,192.16,4626374.0,0.0,1.0,184.7140236241,186.82376324863,182.7890077455,186.82376324863,4626374.0
2015-11-13,192.63,193.38,190.06,190.39,2483194.0,0.0,1.0,187.28071146224,188.00988414353,184.78207974102,185.10291572078998,2483194.0
2015-11-12,196.19,196.19,192.26,192.77,3166928.0,0.0,1.0,190.74185112276,190.74185112276,186.92098627279998,187.41682369608003,3166928.0
2015-11-11,198.29,198.93,196.73,197.39,1645959.0,0.0,1.0,192.78353463036999,193.40576198507,191.26685545329,191.90852741281998,1645959.0
2015-11-10,196.58,198.22,195.275,197.81,2149437.0,0.0,1.0,191.12102091703,192.71547851345002,189.85226045158,192.31686411433998,2149437.0
2015-11-09,199.04,199.9,196.32,196.76,2604114.0,0.0,1.0,193.51270731166,194.34882531953,190.86824105418,191.29602236054,2604114.0
2015-11-06,196.0,199.47,195.9,199.17,4268415.0,0.0,1.0,190.55712737682998,193.93076631558998,190.45990435266003,193.63909724308,4268415.0
2015-11-05,192.54,193.28,191.0,192.02,2186265.0,0.0,1.0,187.19321074048,187.91266111936,185.69597616823998,186.68765101479,2186265.0
2015-11-04,191.0,192.89,190.31,191.65,2174079.0,0.0,1.0,185.69597616823998,187.53349132508998,185.02513730145,186.32792582535998,2174079.0
2015-11-03,189.25,191.87,189.05,190.69,2443189.0,0.0,1.0,183.99457324523,186.54181647853,183.80012719689,185.39458479331,2443189.0
2015-11-02,188.32,190.43,187.675,189.68,2531476.0,0.0,1.0,183.09039912043,185.14180493046,182.46331061452,184.41263224917,2531476.0
2015-10-30,189.76,190.09,187.24,187.5,2791644.0,0.0,1.0,184.49041066851,184.81124664827,182.04039045938,182.29317032222,2791644.0
2015-10-29,191.0,191.96,189.33,189.89,3068096.0,0.0,1.0,185.69597616823998,186.62931720029,184.07235166457002,184.61680059993,3068096.0
2015-10-28,186.71,191.48,186.17,191.32,3231809.0,0.0,1.0,181.52510843126998,186.16264668426,181.00010410073997,186.00708984558997,3231809.0
2015-10-27,186.0,186.83,184.5,186.31,1932290.0,0.0,1.0,180.83482495965,181.64177606027002,179.37647959707002,181.13621633458,1932290.0
2015-10-26,187.1,188.0,186.62,187.01,2573727.0,0.0,1.0,181.90427822554,182.77928544308,181.43760770951,181.81677750378003,2573727.0
2015-10-23,185.16,186.36,184.43,185.5,2935718.0,0.0,1.0,180.0181515566,181.18482784666,179.30842348015,180.34870983878997,2935718.0
2015-10-22,180.23,184.19,180.2,183.56,2609177.0,0.0,1.0,175.22505646493,179.07508822214,175.19588955768,178.46258316985,2609177.0
2015-10-21,186.22,186.22,179.55,179.7,3709086.0,0.0,1.0,181.04871561282,181.04871561282,174.56393990056,174.70977443682,3709086.0
2015-10-20,185.2,185.97,183.9,185.51,2736241.0,0.0,1.0,180.05704076626998,180.80565805239,178.79314145203998,180.35843214119998,2736241.0
2015-10-19,183.48,186.5,183.15,185.74,2665724.0,0.0,1.0,178.38480475051003,181.32094008049998,178.06396877075,180.58204509680002,2665724.0
2015-10-16,185.12,186.65,183.63,185.18,2977339.0,0.0,1.0,179.97926234693,181.46677461676003,178.53063928676997,180.03759616143998,2977339.0
2015-10-15,176.73,185.75,175.76,184.96,5720088.0,0.0,1.0,171.82225061891003,180.59176739922,170.87918728444998,179.82370550826,5720088.0
